station,month,year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd_mode,month_year,CO_PPM,NO2_PPM,SO2_PPM,O3_PPM,PM2.5_Category,PM10_Category,CO_Category,NO2_Category,SO2_Category,O3_Category
Dongsi,3,2013,109.31705495818399,132.67404847243557,40.027762621607785,77.1481283068783,1534.4517963816352,59.34846710189452,6.421597115548729,1014.4071705922513,-7.000369090288444,0.020161290322580645,1.9915130568356376,N,2013-03-01,1.3343059098970742,0.04103623846110548,0.015277771992980069,0.030279830154027815,Very Poor,Very Poor,Good,Good,Good,Good
Dingling,3,2013,97.03667434715821,111.39541730670763,24.800567520054617,46.736466794674854,1022.3517451783581,68.23329913807817,6.057710360129715,1009.3565540194572,-7.436036439665473,0.030288871821129885,1.7291069295101553,ESE,2013-03-01,0.8890015175463984,0.024859822763124925,0.009465865465669701,0.03481290772350927,Very Poor,Poor,Good,Good,Good,Good
Wanshouxigong,3,2013,107.30662229049325,131.17607526881721,42.19256810035842,63.59995983102919,1539.9890339648402,49.93751199863458,6.526105137395461,1011.5907791431985,-6.26997141150367,0.02373485236388462,1.7609553678102066,E,2013-03-01,1.339120899099861,0.033829765867568716,0.016104033626091,0.02547832244828295,Very Poor,Very Poor,Good,Good,Good,Good
Huairou,3,2013,97.22516641065027,120.91068015019628,33.482508806963644,49.524825424560504,1201.4195468509984,61.9031309353132,4.975471496842465,1009.4665749274619,-7.55699778119133,0.017648062809353132,2.0430555555555556,WNW,2013-03-01,1.0447126494356507,0.026342992247106654,0.01277958351410826,0.03158323006903735,Very Poor,Very Poor,Good,Good,Good,Good
Shunyi,3,2013,106.89153439153439,127.8665514592934,34.0773386755419,59.813917080559825,1405.609041645332,53.13259535330261,5.803746373101212,1015.1213453661035,-6.5080666495989075,0.02027009728622632,2.0825375490698073,N,2013-03-01,1.222268731865506,0.03181591334072331,0.013006617815092329,0.027108467016991128,Very Poor,Very Poor,Good,Good,Good,Good
Gucheng,3,2013,109.95829066393583,149.10946833930703,38.73554140638334,75.12166344726062,1602.8172469704728,59.29998174603175,6.489825482164192,1010.4752432155657,-6.464942823007339,0.02078853046594982,1.440668202764977,E,2013-03-01,1.3937541278004113,0.03995833162088331,0.014784557788695932,0.03025509272756722,Very Poor,Very Poor,Good,Good,Good,Good
Wanliu,3,2013,110.98779655231269,148.26267494452978,43.962810172384366,89.04512256144393,1629.063684075781,39.53704121437105,6.224229817374979,1012.4976915855949,-5.693539853217272,0.02638035500938727,2.017035756955112,NE,2013-03-01,1.4165771165876357,0.047364426894385074,0.016779698539078,0.02017195980325054,Very Poor,Very Poor,Good,Good,Good,Good
Guanyuan,3,2013,103.39166239972691,130.84843830005119,45.732615873015874,74.09837729988053,1476.8820404505889,59.67348665301246,6.224229817374979,1012.4976915855949,-5.693539853217272,0.02638035500938727,2.019066820276498,NE,2013-03-01,1.2842452525657295,0.03941403047865985,0.01745519689809766,0.030445656455618603,Very Poor,Very Poor,Good,Good,Good,Good
Nongzhanguan,3,2013,107.31012118108893,127.92163765147637,45.371970899470895,76.97966986687148,1487.4543010752689,59.10565254309609,6.421597115548729,1014.4071705922513,-7.000369090288444,0.020161290322580645,1.9915130568356376,N,2013-03-01,1.293438522674147,0.04094663290791036,0.01731754614483622,0.030155945175049027,Very Poor,Very Poor,Good,Good,Good,Good
Tiantan,3,2013,107.0478323946066,124.2520908004779,38.13238329066394,64.32046532898106,1549.891811742618,62.14420647721454,6.421597115548729,1014.4071705922513,-7.000369090288444,0.020161290322580645,1.9915130568356376,N,2013-03-01,1.3477320102109722,0.034213013472862264,0.014554344767428984,0.031706227794497215,Very Poor,Very Poor,Good,Good,Good,Good
